wkr.nr.,land,wahlkreisname,wahlbeteiligung,afd,fdp,grüne,linke,spd,union
901,Schleswig-Holstein,Land,73.1,4.6,5.6,9.4,5.2,31.5,39.2
902,Hamburg,Land,70.3,4.2,4.8,12.7,8.8,32.4,32.1
903,Niedersachsen,Land,73.4,3.7,4.2,8.8,5,33.1,41.1
904,Bremen,Land,68.8,3.7,3.4,12.1,10.1,35.6,29.3
905,Nordrhein-Westfalen,Land,72.5,3.9,5.2,8,6.1,31.9,39.8
906,Hessen,Land,73.2,5.6,5.6,9.9,6,28.8,39.2
907,Rheinland-Pfalz,Land,72.8,4.8,5.5,7.6,5.4,27.5,43.3
908,Baden-Württemberg,Land,74.3,5.2,6.2,11,4.8,20.6,45.7
909,Bayern,Land,70,4.3,5.1,8.4,3.8,20,49.3
910,Saarland,Land,72.5,5.2,3.8,5.7,10,31,37.8
911,Berlin,Land,72.5,4.9,3.6,12.3,18.5,24.6,28.5
912,Brandenburg,Land,68.4,6,2.5,4.7,22.4,23.1,34.8
913,Mecklenburg-Vorpommern,Land,65.3,5.6,2.2,4.3,21.5,17.8,42.5
914,Sachsen,Land,69.5,6.8,3.1,4.9,20,14.6,42.6
915,Sachsen-Anhalt,Land,62.1,4.2,2.6,4,23.9,18.2,41.2
916,Thüringen,Land,68.2,6.2,2.6,4.9,23.4,16.1,38.8
