Land,AfD,CDU,CSU,FDP,Grüne,Linke,SPD
Baden-Württemberg,5.2,45.7,NA,6.2,11,4.8,20.6
Bayern,4.3,NA,49.3,5.1,8.4,3.8,20
Berlin,4.9,28.5,NA,3.6,12.3,18.5,24.6
Brandenburg,6,34.8,NA,2.5,4.7,22.4,23.1
Bremen,3.7,29.3,NA,3.4,12.1,10.1,35.6
Hamburg,4.2,32.1,NA,4.8,12.7,8.8,32.4
Hessen,5.6,39.2,NA,5.6,9.9,6,28.8
Mecklenburg-Vorpommern,5.6,42.5,NA,2.2,4.3,21.5,17.8
Niedersachsen,3.7,41.1,NA,4.2,8.8,5,33.1
Nordrhein-Westfalen,3.9,39.8,NA,5.2,8,6.1,31.9
Rheinland-Pfalz,4.8,43.3,NA,5.5,7.6,5.4,27.5
Saarland,5.2,37.8,NA,3.8,5.7,10,31
Sachsen,6.8,42.6,NA,3.1,4.9,20,14.6
Sachsen-Anhalt,4.2,41.2,NA,2.6,4,23.9,18.2
Schleswig-Holstein,4.6,39.2,NA,5.6,9.4,5.2,31.5
Thüringen,6.2,38.8,NA,2.6,4.9,23.4,16.1
